Компания	Карьерная страница	Разведка	Как читаем	Адрес, откуда читаем	Проверка	Вакансий при проверке	Пример ссылки
Т-Банк · /career/vacancies	https://www.tbank.ru/career/vacancies	нет адреса вакансии					
Яндекс · /jobs/vacancies	https://yandex.ru/jobs/vacancies	готов	html_links	https://yandex.ru/jobs/vacancies	подтверждено	10	https://yandex.ru/jobs/services/yandex
Золотое Яблоко · /search/all	https://job.goldapple.ru/search/all	готов	json	https://job.goldapple.ru/api/search-page/vacancies	страница рисуется скриптом и отвечает 200 даже на выдуманный адрес		
Avito	https://career.avito.com/vacancies	готов	html_links	https://career.avito.com/vacancies	подтверждено	4	https://career.avito.com/vacancies/prodazhi/20097/
МТС	https://job.mts.ru/vacancies	нет данных					
Росатом	https://rosatom-career.ru/vacancies	нет данных					
2ГИС	https://job.2gis.ru	нет данных					
Иви	https://corp.ivi.ru/vacancies	готов	html_links	https://corp.ivi.ru/vacancies	подтверждено	11	https://corp.ivi.ru/vacancy/java-razrabotchik-big-data/
Сбер · /search	https://rabota.sber.ru/search	нет адреса вакансии					
Альфа-Банк	https://job.alfabank.ru/vacancies	нет данных					
GRASS	https://job.thgrass.com/vacancies	готов	html_links	https://job.thgrass.com/vacancies	подтверждено	15	https://job.thgrass.com/vacancies/4119/
X5 Tech	https://x5.tech/vacancy	готов	json	https://prod-lkk-back.x5.ru/api/v2/x5-tech/vacancies/	подтверждено	10	https://x5.tech/vacancy/6474129c-9561-459e-a0d7-176314677bc0
Twinby	https://twinby.ru/career	готов	embedded	https://twinby.ru/career	встроенные данные не разбираются как JSON		
Островок	https://career.ostrovok.ru/vacancy	готов	embedded	https://career.ostrovok.ru/vacancy	подтверждено	8	https://career.ostrovok.ru/vacancy
Точка Банк	https://hr.tochka.com/vacancies	нет данных					
Cloud.ru	https://cloud.ru/career/vacancies	готов	html_links	https://cloud.ru/career/vacancies	подтверждено	10	https://cloud.ru/career/vacancies/4188602
Kaspersky	https://careers.kaspersky.ru/vacancies	готов	html_links	https://careers.kaspersky.ru/vacancies	подтверждено	13	https://careers.kaspersky.ru/vacancy/25341
Yadro	https://careers.yadro.com/vacancies	нет адреса вакансии					
Ростелеком	https://job.rt.ru/search	нет данных					
Контур	https://kontur.ru/career/vacancies	готов	html_links	https://kontur.ru/career/vacancies	подтверждено	75	https://kontur.ru/front/ver-1408987799/build/css/career/vacancies/list-page.css
КРОК	https://careers.croc.ru/vacancies	нет данных					
Самокат · /vacancies-business	https://vacancy.samokat.ru/vacancies-business	нет данных					
IBS	https://ibs.ru/career/jobs	готов	html_links	https://ibs.ru/career/jobs	подтверждено	51	https://ibs.ru/career/jobs/filter/napravlenie-is-razrabotka/apply/#list
M2 Tech	https://tech.m2.ru	нет данных					
ВТБ	https://rabota-vtb.ru/career	готов	embedded	https://rabota-vtb.ru/career	подтверждено	20	https://rabota-vtb.ru/career
Macroscop	https://pro.macroscop.com/vacancies	нет данных					
Циан	https://krasnodar.cian.ru/vacancies	нет данных					
Stepik	https://welcome.stepik.org/ru/careers	готов	html_links	https://welcome.stepik.org/ru/careers	подтверждено	7	https://welcome.stepik.org/ru/careers
Evercode Lab	https://evercodelab.ru/vacancies	нет данных					
Aston	https://career.astondevs.ru/vacancy	нет данных					
amoCRM	https://www.amocrm.ru/jobs	готов	html_links	https://www.amocrm.ru/jobs	подтверждено	9	https://www.amocrm.ru/jobs/production#go_to_content
Positive Technologies	https://ptsecurity.com/about/vacancy	нет данных					
IT_One	https://www.it-one.ru/vacancies	нет данных					
Пачка	https://pachca.com/career	готов	html_links	https://pachca.com/career	подтверждено	7	https://pachca.com/comparisons/slack
Selecty	https://selecty.ru/it-vacancy	нет данных					
КОРУС Консалтинг	https://career.korusconsulting.ru/vacancies	готов	html_links	https://career.korusconsulting.ru/vacancies	подтверждено	29	https://career.korusconsulting.ru/vacancies/business-development-manager-bdm-solution-sales-executive-v-fintech/
Axenix	https://axenix.pro/career	нет данных					
Гараж 8	https://garage-eight.com/vacancies	нет данных					
