Компания	У нас на проде	У Cofinder	Статус Cofinder	Сообщение об ошибке	Карьерный сайт	Пример прямой ссылки	Наша разведка
Notamedia	0	4	ok		https://nota.media/career	https://integrator.nota.media/career/vacancies/java-razrabotchik_-senior_137353720/	нет данных
Baum	0	4	ok		https://baum.ru/job	https://baum.ru/job/vacancies/c-developer/	нет данных
Аурига	0	4	ok		https://hr.auriga.ru	https://hr.auriga.ru/position/project-manager-s-opytom-razrabotki-sistemnogo-po/	нет данных
С-Терра	0	3	ok		https://www.s-terra.ru/company/rabota-u-nas	https://www.s-terra.ru/company/rabota-u-nas/Referentvotdelprodazh/	нет данных
Rush Agency	0	3	ok		https://www.rush-agency.ru/jobs	https://www.rush-agency.ru/jobs/middle-seo-speczialist/	нет данных
Crosstech	0	3	ok		https://crosstech.ru/vacancies	https://crosstech.ru/vacancies/tsentr-tekhnicheskoy-ekspertizy/dezhurnyy-analitik-soc-l1-/	нет данных
Linx	0	3	ok		https://linx.ru/about/career	https://linx.ru/about/career/menedzher-po-prodazham/	нет данных
Контакт	0	3	error	'NoneType' object has no attribute 'lower'	https://itcontact.ru/vacancies		нет данных
Дельта Компьютерс	0	3	ok		https://deltacomputers.ru/vacancies	https://deltacomputers.ru/vacancies/1332/	нет данных
RedLab	0	2	ok		https://redlab.dev/career	https://redlab.dev/career/ml-razrabotchik/	нет данных
TerraLink	0	2	ok		https://terralink.ru/career/vacancies	https://terralink.ru/career/vacancies/direktor-po-rabote-s-klyuchevymi-klientami-akkaunt-direktor/	нет данных
Спортс	0	2	error	Parser returned 0 vacancies	https://www.sports.ru/football/blogs/3271770.html		нет данных
BINOM	0	2	ok		https://binom.systems/vakansii	https://binom.systems/vakansii/analitik-1s/	нет данных
Directum	0	2	ok		https://career.directum.ru/vacancy?from=main_button_vacancy	https://career.directum.ru/strategy_implementation_consultant	нет данных
Rubius	0	2	ok		https://rubius.com/ru/company/career	https://rubius.com/ru/vacancies/head-of-pmo	нет данных
Хоулмонт	0	2	ok		https://job.haulmont.ru/career	https://job.haulmont.ru/vacancies/support-engineer-tezis	готов
PIX Robotics	0	2	ok		https://pix.ru/company/vacancy	https://pix.ru/company/vacancy/administrator-baz-dannykh/	нет данных
РДВ Технолоджи	0	2	ok		https://rdwcomp.ru/kompaniya/vakansii	https://rdwcomp.ru/kompaniya/vakansii/pam/	нет данных
Macroscop	0	1	ok		https://pro.macroscop.com/vacancies	https://pro.macroscop.com/kkz	нет данных
Stepik	0	1	ok		https://welcome.stepik.org/ru/careers	https://welcome.stepik.org/careers/senior-backend	нет данных
Пачка	0	1	ok		https://pachca.com/career	https://pachca.com/career/vacancies/senior-ios-developer	нет данных
Effective Technologies	0	1	error	Parser returned 0 vacancies	https://career.effective-group.ru		нет данных
Контур	63	51	ok		https://kontur.ru/career/vacancies	https://kontur.ru/career/vacancies/5856	нет данных
Navio	33	46	ok		https://navio.auto/vacancies	https://navio.auto/vacancies/667	нет данных
IBS	45	45	ok		https://ibs.ru/career/jobs	https://ibs.ru/career/jobs/starshiy-konsultant-1s-ukh-buinu-perm/	нет данных
Orion soft	27	27	ok		https://career.orionsoft.ru/vacancy	https://career.orionsoft.ru/vacancy/menedzher-po-prodazham	нет данных
Bell Integrator	25	26	ok		https://bellintegrator.ru/information/vacancies	https://bellintegrator.ru/vacancy/2545	нет данных
X5 Tech	10	24	ok		https://x5.tech/vacancy	https://x5.tech/vacancy/2910a8b0-c071-4f85-8ac2-f753c46ee58c	готов
Техвилл	20	21	ok		https://techvill.ru/vacancies	https://techvill.ru/vacancies/4336404	нет данных
Mish	17	17	ok		https://mish.design/ru/vacancies	https://mish.design/ru/vacancies/116-produktovyj-dizajner-hr-platforma	нет данных
kokos group	6	13	ok		https://career.kokocgroup.ru/vacancies	https://career.kokocgroup.ru/vacancies/9cc2ffcd-03f1-4a3c-9d07-0f0f1edaf52b	нет данных
Inline Group	12	11	ok		https://inlinegroup.ru/about/jobs	https://inlinegroup.ru/about/jobs/11851	нет данных
Островок	7	7	ok		https://career.ostrovok.ru/vacancy	https://career.ostrovok.ru/vacancy/3462	готов
Performance Lab	5	6	ok		https://www.performance-lab.ru/vacancy	https://www.performance-lab.ru/vacancies/inzhener-po-nagruzochnomu-testirovaniyu-2	нет данных
Just AI	5	3	ok		https://careers.just-ai.com/vakansii	https://careers.just-ai.com/vacancy/project-manager-2	нет данных
Пятёрочка	0	0	нет в каталоге		https://rabota5ka.ru/vacancies		готов
Перекрёсток	0	0	нет в каталоге		https://rabota.perekrestok.ru/vacancies		готов
Магнит	0	0	нет в каталоге		https://rabota.magnit.ru		нет адреса вакансии
Лента	0	0	нет в каталоге		https://career.lenta.com		нет данных
ВкусВилл	14	0	нет в каталоге		https://vkusvill.ru/job/vacancys		нет данных
METRO	299	0	нет в каталоге		https://rabota.metro-cc.ru/vacancies/store		готов
О'КЕЙ	0	0	нет в каталоге		https://www.okmarket.ru/career/vacancies		нет данных
Глобус	0	0	нет в каталоге		https://rabota.globus.ru		нет данных
Красное&Белое	0	0	нет в каталоге		https://krasnoeibeloe.ru/job		нет данных
Fix Price	0	0	нет в каталоге		https://fix-price.com/work/store		нет данных
Чижик	0	0	нет в каталоге		https://chizhik.club/rabota		нет данных
ДИКСИ	0	0	нет в каталоге		https://dixy.ru/group/career/vacancy		нет данных
Монетка	0	0	нет в каталоге		https://career.monetka.ru		нет данных
SPAR	0	0	нет в каталоге		https://myspar.ru/career		нет данных
Слата	0	0	нет в каталоге		https://www.slata.ru/vacancy		нет данных
Мария-Ра	0	0	нет в каталоге		https://www.maria-ra.ru/karera-v-seti/vakansii		ошибка
Ярче!	0	0	нет в каталоге		https://работаярче.рф		нет данных
М.Видео-Эльдорадо	0	0	нет в каталоге		https://career.mvideoeldorado.ru/vacancies		нет данных
DNS	0	0	нет в каталоге		https://www.dns-shop.ru/jobs		нет данных
Hoff	0	0	нет в каталоге		https://job.hoff.ru		нет данных
Лемана ПРО	10	0	нет в каталоге		https://rabota.lemanapro.ru/vacancies		нет данных
Петрович	0	0	нет в каталоге		https://petrovichjob.ru		нет данных
Детский мир	0	0	нет в каталоге		https://jobs.detmir.ru		нет данных
РИВ ГОШ	0	0	нет в каталоге		https://rivegauche.ru/work		нет данных
Улыбка радуги	0	0	нет в каталоге		https://rabota.r-ulybka.ru		нет данных
Подружка	0	0	нет в каталоге		https://rabotavpodrygke.ru		нет данных
kari	0	0	нет в каталоге		https://kari.com/job		нет данных
Gloria Jeans	0	0	нет в каталоге		https://lookbook.gloria-jeans.ru		нет данных
Befree	0	0	нет в каталоге		https://befree.ru/job		нет данных
HENDERSON	0	0	нет в каталоге		https://henderson.ru/company/vacancies		нет данных
CDEK	0	0	нет в каталоге		https://rabota.cdek.ru/vacancies		нет данных
Деловые Линии	0	0	нет в каталоге		https://job.dellin.ru		нет данных
ПЭК	0	0	нет в каталоге		https://hr.pecom.ru		нет данных
DPD Россия	0	0	нет в каталоге		https://dpd.ru/vacancy		нет данных
Почта России	0	0	нет в каталоге		https://www.pochta.ru/vacancy-list		нет данных
РЖД	0	0	нет в каталоге		https://team.rzd.ru/career/vacancies		ошибка
Аэрофлот	0	0	нет в каталоге		https://vacancy.aeroflot.ru		нет данных
Шереметьево	0	0	нет в каталоге		https://job.svo.su		нет данных
Черкизово	0	0	нет в каталоге		https://vacancies.cherkizovo.com/vacancies		нет данных
Северсталь	0	0	нет в каталоге		https://career.severstal.com/vacancies		нет данных
Балтика	0	0	нет в каталоге		https://career.baltika.ru		нет данных
Норникель	40	0	нет в каталоге		https://career.nornickel.ru/vacancies		нет данных
ФосАгро	0	0	нет в каталоге		https://www.phosagro.ru/career-education/vacancies		нет адреса вакансии
РУСАЛ	0	0	нет в каталоге		https://www.rusal.ru/career/vacancies		нет данных
Додо Пицца	0	0	нет в каталоге		https://rabotavdodo.ru		нет данных
Вкусно — и точка	0	0	нет в каталоге		https://rabotaitochka.ru		нет данных
ROSTIC'S	0	0	нет в каталоге		https://rostics.ru/ru/career		нет данных
Burger King Россия	0	0	нет в каталоге		https://burgerkingrus.ru/rabota		нет данных
Теремок	0	0	нет в каталоге		https://rabota.teremok.ru/vacancies		нет данных
Кофемания	0	0	нет в каталоге		https://rabota.coffeemania.ru		нет адреса вакансии
Шоколадница	0	0	нет в каталоге		https://regions.shoko.ru/career		нет данных
AZIMUT Hotels	0	0	нет в каталоге		https://azimuthotels.com/ru/info/career		нет данных
